country,date,confirmed,deaths,recovered,daily_cases,daily_deaths
Spain,2020-04-24,202990,22524,92355,-10034,367
Spain,2020-04-25,205905,22902,95708,2915,378
Spain,2020-04-26,207634,23190,98372,1729,288
Spain,2020-04-27,209465,23521,100875,1831,331
Spain,2020-04-28,210773,23822,102548,1308,301
Spain,2020-04-29,212917,24275,108947,2144,453
Spain,2020-04-30,213435,24543,112050,518,268
Spain,2020-05-01,215216,24543,112050,1781,0
Spain,2020-05-02,216582,25100,117248,1366,557
Spain,2020-05-03,217466,25264,118902,884,164
Spain,2020-05-04,218011,25428,121343,545,164
Spain,2020-05-05,219329,25613,123486,1318,185
Spain,2020-05-06,220325,25857,126002,996,244
Spain,2020-05-07,221447,26070,128511,1122,213
Spain,2020-05-08,222857,26299,131148,1410,229
Spain,2020-05-09,223578,26478,133952,721,179
Spain,2020-05-10,224350,26621,136166,772,143
Spain,2020-05-11,227436,26744,137139,3086,123
Spain,2020-05-12,228030,26920,138980,594,176
Spain,2020-05-13,228691,27104,140823,661,184
Spain,2020-05-14,229540,27321,143374,849,217
Spain,2020-05-15,230183,27459,144783,643,138
Spain,2020-05-16,230698,27563,146446,515,104
Spain,2020-05-17,230698,27563,146446,0,0
Spain,2020-05-18,231606,27709,150376,908,146
Spain,2020-05-19,232037,27778,150376,431,69
Spain,2020-05-20,232555,27888,150376,518,110
Spain,2020-05-21,233037,27940,150376,482,52
Spain,2020-05-22,234824,28628,150376,1787,688
Spain,2020-05-23,235290,28678,150376,466,50
Spain,2020-05-24,235772,28752,150376,482,74
Spain,2020-05-25,235400,26834,150376,-372,-1918
Spain,2020-05-26,236259,27117,150376,859,283
Spain,2020-05-27,236259,27117,150376,0,0
Spain,2020-05-28,237906,27119,150376,1647,2
Spain,2020-05-29,238564,27121,150376,658,2
Spain,2020-05-30,239228,27125,150376,664,4
Spain,2020-05-31,239479,27127,150376,251,2
Spain,2020-06-01,239638,27127,150376,159,0
Spain,2020-06-02,239932,27127,150376,294,0
Spain,2020-06-03,240326,27128,150376,394,1
Spain,2020-06-04,240660,27133,150376,334,5
Spain,2020-06-05,240978,27134,150376,318,1
Spain,2020-06-06,241310,27135,150376,332,1
Spain,2020-06-07,241550,27136,150376,240,1
Spain,2020-06-08,241717,27136,150376,167,0
Spain,2020-06-09,241966,27136,150376,249,0
Spain,2020-06-10,242280,27136,150376,314,0
Spain,2020-06-11,242707,27136,150376,427,0
Spain,2020-06-12,243209,27136,150376,502,0
Spain,2020-06-13,243605,27136,150376,396,0
Spain,2020-06-14,243928,27136,150376,323,0
Spain,2020-06-15,244109,27136,150376,181,0
Spain,2020-06-16,244328,27136,150376,219,0
Spain,2020-06-17,244683,27136,150376,355,0
Spain,2020-06-18,245268,27136,150376,585,0
Spain,2020-06-19,245575,28315,150376,307,1179
Spain,2020-06-20,245938,28322,150376,363,7
Spain,2020-06-21,246272,28323,150376,334,1
Spain,2020-06-22,246504,28324,150376,232,1
Spain,2020-06-23,246752,28325,150376,248,1
Spain,2020-06-24,247086,28327,150376,334,2
Spain,2020-06-25,247486,28330,150376,400,3
Spain,2020-06-26,247905,28338,150376,419,8
Spain,2020-06-27,248469,28341,150376,564,3
Spain,2020-06-28,248770,28343,150376,301,2
Spain,2020-06-29,248970,28346,150376,200,3
Spain,2020-06-30,249271,28355,150376,301,9
Spain,2020-07-01,249659,28364,150376,388,9
Spain,2020-07-02,250103,28368,150376,444,4
Spain,2020-07-03,250545,28385,150376,442,17
Spain,2020-07-04,250545,28385,150376,0,0
Spain,2020-07-05,250545,28385,150376,0,0
Spain,2020-07-06,251789,28388,150376,1244,3
Spain,2020-07-07,252130,28392,150376,341,4
Spain,2020-07-08,252513,28396,150376,383,4
Spain,2020-07-09,253056,28401,150376,543,5
Spain,2020-07-10,253908,28403,150376,852,2
Spain,2020-07-11,253908,28403,150376,0,0
Spain,2020-07-12,253908,28403,150376,0,0
Spain,2020-07-13,255953,28406,150376,2045,3
Spain,2020-07-14,256619,28409,150376,666,3
Spain,2020-07-15,257494,28413,150376,875,4
Spain,2020-07-16,258855,28416,150376,1361,3
Spain,2020-07-17,260255,28420,150376,1400,4
Spain,2020-07-18,260255,28420,150376,0,0
Spain,2020-07-19,260255,28420,150376,0,0
Spain,2020-07-20,264836,28422,150376,4581,2
Spain,2020-07-21,266194,28424,150376,1358,2
Spain,2020-07-22,267551,28426,150376,1357,2
Spain,2020-07-23,270166,28429,150376,2615,3
Spain,2020-07-24,272421,28432,150376,2255,3
Spain,2020-07-25,272421,28432,150376,0,0
Spain,2020-07-26,272421,28432,150376,0,0
Spain,2020-07-27,278782,28434,150376,6361,2
Spain,2020-07-28,280610,28436,150376,1828,2
Spain,2020-07-29,282641,28441,150376,2031,5
Spain,2020-07-30,285430,28443,150376,2789,2
Spain,2020-07-31,288522,28445,150376,3092,2
Spain,2020-08-01,288522,28445,150376,0,0
Spain,2020-08-02,288522,28445,150376,0,0
Spain,2020-08-03,297054,28472,150376,8532,27
Spain,2020-08-04,302814,28498,150376,5760,26
Spain,2020-08-05,305767,28499,150376,2953,1
Spain,2020-08-06,309855,28500,150376,4088,1
Spain,2020-08-07,314362,28503,150376,4507,3
Spain,2020-08-08,314362,28503,150376,0,0
Spain,2020-08-09,314362,28503,150376,0,0
Spain,2020-08-10,322980,28576,150376,8618,73
Spain,2020-08-11,326612,28581,150376,3632,5
Spain,2020-08-12,329784,28579,150376,3172,-2
Spain,2020-08-13,337334,28605,150376,7550,26
Spain,2020-08-14,342813,28617,150376,5479,12
Spain,2020-08-15,342813,28617,150376,0,0
